ensg	intOGen	FIMM	logsdon	FIMM.targets	evo.targets	FIMM_AMLgenes	cTargets
ENSG00000109670	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000133703	TRUE	NA	TRUE	NA	TRUE	TRUE	NA
ENSG00000196712	TRUE	NA	NA	NA	TRUE	TRUE	NA
ENSG00000213281	TRUE	NA	NA	NA	TRUE	TRUE	NA
ENSG00000171862	TRUE	NA	NA	NA	TRUE	TRUE	NA
ENSG00000139687	TRUE	NA	NA	NA	TRUE	TRUE	NA
ENSG00000122406	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000141510	TRUE	TRUE	NA	NA	TRUE	TRUE	NA
ENSG00000122025	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
ENSG00000125107	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000088038	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000273943	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000274176	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000274616	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000274941	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000275979	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000276082	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000277114	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000277600	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000277615	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000111252	TRUE	TRUE	NA	NA	TRUE	TRUE	NA
ENSG00000077782	TRUE	NA	NA	TRUE	TRUE	NA	TRUE
ENSG00000179295	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000184009	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000134982	TRUE	NA	NA	NA	TRUE	TRUE	NA
ENSG00000117713	TRUE	NA	NA	NA	TRUE	TRUE	NA
ENSG00000163930	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000157764	TRUE	NA	NA	TRUE	TRUE	TRUE	TRUE
ENSG00000064012	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000039068	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000124762	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000111276	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000147889	TRUE	TRUE	NA	NA	TRUE	TRUE	NA
ENSG00000079432	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000102974	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000168036	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000108654	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000163435	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000083857	TRUE	TRUE	NA	NA	NA	NA	NA
ENSG00000174775	TRUE	NA	NA	NA	TRUE	TRUE	NA
ENSG00000276536	TRUE	NA	NA	NA	TRUE	TRUE	NA
ENSG00000138413	TRUE	NA	NA	TRUE	NA	TRUE	NA
ENSG00000147050	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000079999	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000095015	TRUE	NA	TRUE	NA	TRUE	NA	NA
ENSG00000116044	TRUE	NA	TRUE	NA	TRUE	NA	NA
ENSG00000156531	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000145715	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000067560	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000168028	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000225178	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000181555	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000141646	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000101972	TRUE	NA	NA	NA	TRUE	TRUE	NA
ENSG00000177565	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000265972	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000164398	TRUE	TRUE	NA	NA	NA	TRUE	NA
ENSG00000072364	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000145819	TRUE	TRUE	NA	NA	NA	TRUE	NA
ENSG00000183337	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000197299	TRUE	TRUE	NA	NA	NA	TRUE	NA
ENSG00000012048	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000167258	TRUE	NA	NA	TRUE	TRUE	NA	NA
ENSG00000183765	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000141367	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000100697	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000156976	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000100393	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000104884	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000066468	TRUE	NA	NA	TRUE	TRUE	NA	TRUE
ENSG00000068078	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE
ENSG00000089280	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000087460	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000066455	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000080824	TRUE	NA	NA	TRUE	TRUE	NA	TRUE
ENSG00000096384	TRUE	NA	NA	TRUE	TRUE	NA	TRUE
ENSG00000067082	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000085276	TRUE	TRUE	NA	NA	NA	TRUE	NA
ENSG00000184634	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000105976	TRUE	NA	NA	TRUE	TRUE	NA	TRUE
ENSG00000076242	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000133392	TRUE	TRUE	NA	NA	NA	TRUE	NA
ENSG00000276480	TRUE	TRUE	NA	NA	NA	TRUE	NA
ENSG00000104419	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000148400	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000110713	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000115524	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000116560	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000178691	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000135111	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000163513	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000054118	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000165699	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000121741	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000204514	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000075624	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000137845	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000124942	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000106546	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000151150	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000021776	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000101199	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000124198	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000160007	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000049618	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000175054	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000029363	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000204217	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000084774	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000142453	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000153113	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000121691	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000060339	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000150753	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000198707	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000170004	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000177200	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000163539	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000092853	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000166200	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000009307	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000108094	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000215301	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000083520	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000075711	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000114942	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000283391	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000172071	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000114867	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000120690	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000065361	TRUE	NA	NA	NA	TRUE	NA	TRUE
ENSG00000096060	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000115414	TRUE	TRUE	NA	NA	NA	NA	NA
ENSG00000138757	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000132522	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000206503	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000206505	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000223980	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000224320	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000227715	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000229215	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000231834	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000235657	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000109971	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000136381	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000185950	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000050405	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000085511	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000011566	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000008838	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000174197	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000198793	TRUE	NA	NA	TRUE	TRUE	NA	TRUE
ENSG00000133026	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000187109	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000116701	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000196498	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000111581	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000189184	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000140479	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000051382	TRUE	NA	NA	TRUE	TRUE	NA	TRUE
ENSG00000143398	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000060656	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000164754	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000003756	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000143379	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000183431	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000072501	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000115904	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000100485	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000118007	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000101109	TRUE	NA	TRUE	NA	TRUE	NA	NA
ENSG00000147133	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000160551	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000149930	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000083312	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000067369	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000038382	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000152518	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000142208	TRUE	NA	NA	NA	TRUE	NA	TRUE
ENSG00000189079	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000149311	TRUE	NA	NA	NA	TRUE	TRUE	NA
ENSG00000067955	TRUE	NA	TRUE	NA	NA	TRUE	NA
ENSG00000111642	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000146648	TRUE	NA	NA	TRUE	TRUE	TRUE	TRUE
ENSG00000173674	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000129514	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000162613	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000107485	TRUE	TRUE	NA	NA	NA	TRUE	NA
ENSG00000126012	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000065559	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000118513	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000141027	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000163939	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000121879	TRUE	NA	NA	TRUE	TRUE	NA	TRUE
ENSG00000145675	TRUE	NA	NA	TRUE	TRUE	NA	TRUE
ENSG00000159216	TRUE	TRUE	NA	NA	TRUE	TRUE	NA
ENSG00000118046	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000185650	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000127914	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000123268	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000138363	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000139618	TRUE	TRUE	NA	NA	TRUE	TRUE	NA
ENSG00000141736	TRUE	NA	NA	NA	TRUE	NA	TRUE
ENSG00000114861	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000108924	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000136167	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000196588	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000100345	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000186575	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000134250	TRUE	NA	TRUE	NA	NA	TRUE	NA
ENSG00000165671	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000196092	TRUE	TRUE	NA	NA	NA	TRUE	NA
ENSG00000108946	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000127616	TRUE	NA	TRUE	NA	NA	TRUE	NA
ENSG00000140262	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000148737	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000122729	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000135503	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000054267	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000133794	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000116539	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000066279	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000173068	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000171634	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000151292	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000055130	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000109606	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000102081	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000172534	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000205726	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000160145	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000136826	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000070018	TRUE	TRUE	NA	NA	NA	NA	NA
ENSG00000281324	TRUE	TRUE	NA	NA	NA	NA	NA
ENSG00000127603	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000125952	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000112282	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000038945	TRUE	TRUE	NA	NA	NA	NA	NA
ENSG00000176945	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000274843	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000275430	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000275501	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000276583	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000277753	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000278114	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000281630	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000105357	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000153234	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000117461	TRUE	NA	NA	TRUE	TRUE	NA	TRUE
ENSG00000047315	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000067606	TRUE	NA	NA	TRUE	NA	NA	TRUE
ENSG00000095303	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000102054	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000163918	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000106615	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000156313	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000150961	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000197694	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000196935	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000168439	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000165124	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000198176	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000100284	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000085224	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000172936	TRUE	NA	NA	NA	TRUE	TRUE	NA
ENSG00000082898	TRUE	NA	NA	TRUE	NA	TRUE	TRUE
ENSG00000171456	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000137752	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000127955	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000182621	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000119772	TRUE	NA	NA	NA	NA	TRUE	TRUE
ENSG00000182054	TRUE	NA	NA	TRUE	NA	TRUE	NA
ENSG00000169032	TRUE	NA	TRUE	TRUE	TRUE	NA	TRUE
ENSG00000175387	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000125398	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000184937	TRUE	NA	NA	NA	TRUE	TRUE	NA
ENSG00000134371	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000005339	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000105568	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000196220	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000168646	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000185658	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000114416	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000185551	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000074527	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000169564	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000182872	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000115310	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000135316	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000115935	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000058673	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000257315	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000138081	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000136997	TRUE	TRUE	NA	NA	TRUE	TRUE	NA
ENSG00000156508	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000106462	TRUE	NA	NA	NA	TRUE	TRUE	NA
ENSG00000131375	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000036257	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000019991	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000206450	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000223532	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000224608	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000228964	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000232126	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000234745	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000061676	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000176974	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000128052	TRUE	NA	NA	TRUE	TRUE	NA	TRUE
ENSG00000133895	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000151498	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000129675	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000100888	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000134852	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000048052	TRUE	NA	NA	TRUE	TRUE	NA	NA
ENSG00000049759	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000100968	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000174231	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000274442	TRUE	NA	TRUE	NA	NA	NA	NA
ENSG00000169375	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000104067	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000277401	TRUE	NA	NA	NA	NA	NA	NA
ENSG00000121989	TRUE	NA	NA	NA	TRUE	NA	NA
ENSG00000166710	TRUE	NA	NA	NA	NA	TRUE	NA
ENSG00000273686	TRUE	NA	NA	NA	NA	TRUE	NA
